text,label
"This rent agreement is entered into between the landlord and the tenant for the property located at the address mentioned herein",legal
"The borrower agrees to repay the loan amount with interest at the rate specified in this agreement",legal
"This contract binds both parties to the terms and conditions set forth herein with penalties for breach",legal
"Notice is hereby served to the tenant to vacate the premises within 30 days of receipt of this notice",legal
"The employee agrees to the terms of employment including salary non-disclosure and termination clauses",legal
"This loan agreement between the bank and borrower includes EMI schedule prepayment charges and default penalties",legal
"The landlord shall have the right to terminate this agreement if rent is not paid within 7 days of due date",legal
"Force majeure clause exempts parties from liability in case of natural disasters war or government actions",legal
"The interest rate shall be 18 percent per annum compounded monthly on the outstanding principal",legal
"Arbitration clause requires disputes to be resolved through arbitration rather than court proceedings",legal
"Auto debit mandate authorizes the bank to deduct EMI from savings account on the 5th of every month",legal
"Late payment fee of rupees 500 will be charged for each day of delay beyond the grace period",legal
"The tenant shall not sublet the property without prior written consent from the landlord",legal
"Security deposit of 2 months rent shall be refunded within 30 days of vacating the property",legal
"This agreement shall be governed by the laws of India and jurisdiction shall be courts of Mumbai",legal
"Apply for national scholarship portal NSP for students belonging to minority community for higher education",government_form
"PAN card application form 49A for Indian citizens requires identity proof address proof and photograph",government_form
"Pension form for retired government employees requires service certificate and bank account details",government_form
"Aadhaar enrollment form requires biometric data including fingerprints and iris scan along with address proof",government_form
"Job application form for central government recruitment requires educational certificates and experience letter",government_form
"Scholarship application for SC ST students requires caste certificate income certificate and marksheet",government_form
"Form 15G for tax exemption on fixed deposit interest requires PAN and declaration of income details",government_form
"Old age pension scheme application requires age proof domicile certificate and bank passbook copy",government_form
"Aadhaar address update form requires utility bill or bank statement not older than 3 months",government_form
"UPSC application form requires graduation certificate age proof identity proof and application fee payment",government_form
"PM Kisan beneficiary status form requires land records Aadhaar and bank account linked to Aadhaar",government_form
"Scholarship renewal form requires previous year marksheet bonafide certificate and bank account details",government_form
"Income certificate application form requires salary slip or income affidavit from gazetted officer",government_form
"Voter ID correction form requires supporting documents for name date of birth or address change",government_form
"Domicile certificate application requires proof of residence for minimum 15 years in the state",government_form
"This tenancy contract includes maintenance charges electricity bill split and car parking allocation terms",legal
"The guarantor shall be liable for repayment in case the primary borrower defaults on loan obligations",legal
"Termination clause allows employer to terminate employment with 30 days notice or salary in lieu thereof",legal
"Post dated cheques of EMI amount must be submitted at time of loan disbursement as security",legal
"The agreement automatically renews for another year unless either party gives 30 days written notice",legal
"Pradhan Mantri Awas Yojana application form requires income proof and land documents for housing scheme",government_form
"Railway recruitment board application requires 10th marksheet medical fitness certificate and fee payment",government_form
"National food security act ration card application requires family details income proof and residence proof",government_form
"Driving license application form LLR requires age proof address proof and medical certificate from doctor",government_form
"Birth certificate application to municipal corporation requires hospital birth record and parent identity proof",government_form
